YYYY,MM,DD,hh,WD,WSPD,WVHT
2002,1,1,0,107,7.8,3.26
2002,1,1,1,92,8.5,3.42
2002,1,1,2,94,9.3,3.35
2002,1,1,3,111,8.6,3.32
2002,1,1,4,115,10.8,2.97
2002,1,1,5,109,11.2,2.94
2002,1,1,6,111,12.5,2.89
2002,1,1,7,103,12.8,2.82
2002,1,1,8,103,13.1,2.77
2002,1,1,9,105,13.8,2.77
2002,1,1,10,105,14.2,2.77
2002,1,1,11,105,14,2.83
2002,1,1,12,105,13.9,2.82
2002,1,1,13,111,13.9,2.88
2002,1,1,14,110,15.5,2.74
2002,1,1,15,112,15.1,2.93
2002,1,1,16,106,16.2,2.94
2002,1,1,17,103,16.9,2.95
2002,1,1,18,106,15.9,3.02
2002,1,1,19,111,16.9,3.19
2002,1,1,20,109,16.9,3.48
2002,1,1,21,109,17,3.91
2002,1,1,22,110,15.4,4.31
2002,1,1,23,108,16.6,4.2
2002,1,2,0,106,16.1,4.38
2002,1,2,1,104,15.6,4.31
2002,1,2,2,109,13.9,4.3
2002,1,2,3,115,13.8,4.2
2002,1,2,4,113,13.6,4.34
2002,1,2,5,113,12.9,4.64
2002,1,2,6,110,13.5,4.24
2002,1,2,7,109,13.2,4.79
2002,1,2,8,125,13.5,4.57
2002,1,2,9,118,13.1,4.6
2002,1,2,10,111,12.7,5.08
2002,1,2,11,112,13.1,4.53
2002,1,2,12,112,13.4,4.13
2002,1,2,13,131,12.1,4.82
2002,1,2,14,126,11.5,4.35
2002,1,2,15,132,13.5,4.63
2002,1,2,16,131,13.8,4.99
2002,1,2,17,147,14.2,4.58
2002,1,2,18,148,14.7,5.34
2002,1,2,19,148,15.4,5.01
2002,1,2,20,149,15.7,5.29
2002,1,2,21,149,16,5.24
2002,1,2,22,154,15.1,6.04
2002,1,2,23,159,14.9,6.53
2002,1,3,0,159,14.7,99
2002,1,3,1,173,13.7,6.8
2002,1,3,2,174,12.5,5.81
2002,1,3,3,173,11.6,5.99
2002,1,3,4,176,11,5.91
2002,1,3,5,174,10.6,5.17
2002,1,3,6,178,10.4,4.35
2002,1,3,7,180,10,4.15
2002,1,3,8,176,10.1,3.77
2002,1,3,9,176,10.5,3.86
2002,1,3,10,178,9.7,3.73
2002,1,3,11,182,9.2,3.54
2002,1,3,12,184,8.4,3.41
2002,1,3,13,187,7.6,3.63
2002,1,3,14,180,6.6,3.81
2002,1,3,15,168,7.1,3.95
2002,1,3,16,174,7,3.63
2002,1,3,17,173,7.6,3.4
2002,1,3,18,170,7.8,3.75
2002,1,3,19,178,7.9,3.58
2002,1,3,20,200,8.8,3.75
2002,1,3,21,228,8.7,3.6
2002,1,3,22,243,5.4,3.22
2002,1,3,23,218,4.1,3.37
2002,1,4,0,215,5.3,3.49
2002,1,4,1,240,2.6,2.67
2002,1,4,2,188,3,2.8
2002,1,4,3,165,2.9,3.09
2002,1,4,4,146,3.8,2.7
2002,1,4,5,146,5,2.56
2002,1,4,6,130,5.9,3.21
2002,1,4,7,118,6,2.64
2002,1,4,8,127,6.9,3.2
2002,1,4,9,132,6.1,2.88
2002,1,4,10,152,5.1,2.62
2002,1,4,11,154,5.4,2.79
2002,1,4,12,153,5.6,2.56
2002,1,4,13,142,6.7,2.59
2002,1,4,14,118,7.4,2.13
2002,1,4,15,124,7.6,2.33
2002,1,4,16,112,8.1,2.2
2002,1,4,17,112,9.1,2.11
2002,1,4,18,114,8.5,2.09
2002,1,4,19,108,8.3,2
2002,1,4,20,108,8.8,2.14
