"","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
"Apr",NA,NA,1,NA,1,1,NA,3,NA,NA,NA,NA,3,NA,NA,NA,NA,4,NA
"Aug",NA,3,4,3,9,24,35,2,14,12,12,9,1,5,3,13,234,5,1
"Dec",4,NA,3,1,NA,2,6,NA,21,1,1,3,28,4,3,12,NA,4,NA
"Feb",NA,NA,NA,3,4,NA,NA,2,3,3,1,1,3,8,1,1,1,NA,NA
"Jan",NA,1,NA,NA,4,1,3,20,2,11,1,2,8,6,5,2,6,NA,NA
"Jul",NA,1,1,NA,5,5,20,1,8,NA,1,NA,2,NA,1,5,1,2,2
"Jun",NA,NA,NA,NA,1,1,2,1,NA,NA,NA,2,1,NA,2,1,2,NA,NA
"Mar",NA,NA,NA,NA,2,1,1,5,1,1,NA,NA,NA,2,1,2,NA,14,NA
"May",NA,NA,NA,1,NA,NA,12,1,NA,NA,NA,NA,3,1,NA,3,2,2,NA
"Nov",NA,NA,2,2,4,2,8,NA,13,2,7,5,6,19,6,26,4,4,NA
"Oct",NA,2,8,14,10,19,9,6,31,3,73,9,22,6,109,69,24,NA,NA
"Sep",NA,2,4,6,96,75,28,5,16,18,78,6,4,4,45,33,89,5,NA
