,Bird.Code,Day,Month,Month,Year,Full date,Region,molt.size
11,20,20,10,Oct,2001,10/20/2001,South Coast,1
232,245,16,8,Aug,2004,8/16/2004,South Coast,1
234,247,16,8,Aug,2004,8/16/2004,South Coast,1
235,248,16,8,Aug,2004,8/16/2004,South Coast,1
237,250,16,8,Aug,2004,8/16/2004,South Coast,1
242,255,22,8,Aug,2002,8/22/2002,South Coast,1
409,422,29,9,Sep,2004,9/29/2004,North Coast,1
410,423,29,9,Sep,2004,9/29/2004,North Coast,1
423,436,29,9,Sep,2004,9/29/2004,North Coast,1
425,438,29,9,Sep,2004,9/29/2004,North Coast,1
444,457,29,9,Sep,2004,9/29/2004,North Coast,1
446,459,29,9,Sep,2004,9/29/2004,North Coast,1
447,460,29,9,Sep,2004,9/29/2004,North Coast,1
465,478,26,10,Oct,2000,10/26/2000,North Coast,1
1017,1038,27,8,Aug,2007,8/27/2007,North Coast,1
1046,1067,28,8,Aug,2002,8/28/2002,North Coast,1
1047,1068,28,8,Aug,2002,8/28/2002,North Coast,1
1076,1097,19,10,Oct,2005,10/19/2005,North Coast,1
1082,1103,19,10,Oct,2005,10/19/2005,North Coast,1
1087,1108,19,10,Oct,2005,10/19/2005,North Coast,1
1089,1110,19,10,Oct,2005,10/19/2005,North Coast,1
1094,1115,22,10,Oct,2007,10/22/2007,North Coast,1
1104,1125,22,10,Oct,2007,10/22/2007,North Coast,1
1115,1136,22,10,Oct,2007,10/22/2007,North Coast,1
1118,1139,22,10,Oct,2007,10/22/2007,North Coast,1
1120,1141,22,10,Oct,2007,10/22/2007,North Coast,1
1121,1142,22,10,Oct,2007,10/22/2007,North Coast,1
1125,1146,22,10,Oct,2007,10/22/2007,North Coast,1
1127,1148,22,10,Oct,2007,10/22/2007,North Coast,1
1128,1149,22,10,Oct,2007,10/22/2007,North Coast,1
1129,1150,22,10,Oct,2007,10/22/2007,North Coast,1
1130,1151,22,10,Oct,2007,10/22/2007,North Coast,1
1131,1152,22,10,Oct,2007,10/22/2007,North Coast,1
1134,1155,22,10,Oct,2007,10/22/2007,North Coast,1
1136,1157,22,10,Oct,2007,10/22/2007,North Coast,1
1137,1158,22,10,Oct,2007,10/22/2007,North Coast,1
1145,1166,22,10,Oct,2007,10/22/2007,North Coast,1
1291,1312,23,7,Jul,2000,7/23/2000,North Coast,1
1314,1335,18,8,Aug,2004,8/18/2004,North Coast,1
1333,1354,27,8,Aug,2004,8/27/2004,North Coast,1
1341,1362,31,8,Aug,2000,8/31/2000,North Coast,1
1348,1369,31,8,Aug,2004,8/31/2004,North Coast,1
1349,1370,31,8,Aug,2004,8/31/2004,North Coast,1
1357,1378,14,9,Sep,2004,9/14/2004,North Coast,1
1366,1387,17,9,Sep,2004,9/17/2004,North Coast,1
1369,1390,17,9,Sep,2004,9/17/2004,North Coast,1
1371,1392,17,9,Sep,2004,9/17/2004,North Coast,1
1373,1394,17,9,Sep,2004,9/17/2004,North Coast,1
1384,1405,20,9,Sep,2004,9/20/2004,North Coast,1
1409,1430,16,10,Oct,2006,10/16/2006,North Coast,1
1783,1804,29,9,Sep,2006,9/29/2006,South Coast,1
1787,1808,29,9,Sep,2006,9/29/2006,South Coast,1
1802,1823,7,10,Oct,2000,10/7/2000,South Coast,1
1828,1852,7,10,Oct,2001,10/7/2001,South Coast,1
2128,2155,20,8,Aug,2004,8/20/2004,South Coast,1
2129,2156,20,8,Aug,2004,8/20/2004,South Coast,1
2130,2157,20,8,Aug,2004,8/20/2004,South Coast,1
2131,2158,20,8,Aug,2004,8/20/2004,South Coast,1
2134,2161,20,8,Aug,2004,8/20/2004,South Coast,1
2144,2171,20,8,Aug,2004,8/20/2004,South Coast,1
2147,2174,20,8,Aug,2004,8/20/2004,South Coast,1
2151,2178,30,8,Aug,2007,8/30/2007,South Coast,1
2172,2199,31,8,Aug,2004,8/31/2004,South Coast,1
2196,2223,31,8,Aug,2004,8/31/2004,South Coast,1
2223,2250,11,9,Sep,2002,9/11/2002,South Coast,1
2234,2261,11,9,Sep,2002,9/11/2002,South Coast,1
2237,2264,11,9,Sep,2002,9/11/2002,South Coast,1
2239,2266,11,9,Sep,2002,9/11/2002,South Coast,1
2244,2271,19,9,Sep,2004,9/19/2004,South Coast,1
2277,2304,29,9,Sep,2007,9/29/2007,South Coast,1
2286,2313,30,9,Sep,2005,9/30/2005,South Coast,1
2654,2685,5,9,Sep,2002,9/5/2002,South Coast,1
2656,2687,5,9,Sep,2002,9/5/2002,South Coast,1
2657,2688,5,9,Sep,2002,9/5/2002,South Coast,1
2662,2693,22,9,Sep,2002,9/22/2002,South Coast,1
2664,2695,22,9,Sep,2002,9/22/2002,South Coast,1
3110,3153,5,9,Sep,2004,9/5/2004,North Coast,1
3122,3165,10,9,Sep,2003,9/10/2003,North Coast,1
3124,3167,10,9,Sep,2003,9/10/2003,North Coast,1
3132,3175,12,9,Sep,2004,9/12/2004,North Coast,1
3144,3187,16,9,Sep,2003,9/16/2003,North Coast,1
3147,3190,16,9,Sep,2003,9/16/2003,North Coast,1
3149,3192,16,9,Sep,2003,9/16/2003,North Coast,1
3164,3207,22,9,Sep,2000,9/22/2000,North Coast,1
3175,3218,24,9,Sep,2004,9/24/2004,North Coast,1
3178,3221,1,10,Oct,2003,10/1/2003,North Coast,1
3196,3239,6,10,Oct,2005,10/6/2005,North Coast,1
3198,3241,9,10,Oct,2006,10/9/2006,North Coast,1
3246,3289,13,10,Oct,2003,10/13/2003,North Coast,1
3596,3678,20,10,Oct,2001,10/20/2001,South Coast,1
3603,3685,20,10,Oct,2001,10/20/2001,South Coast,1
3625,3718,26,8,Aug,2005,8/26/2005,North Coast,1
3629,3722,26,8,Aug,2005,8/26/2005,North Coast,1
3643,3736,26,8,Aug,2005,8/26/2005,North Coast,1
3651,3744,25,9,Sep,2003,9/25/2003,North Coast,1
3654,3747,25,9,Sep,2003,9/25/2003,North Coast,1
3656,3749,25,9,Sep,2003,9/25/2003,North Coast,1
3658,3751,25,9,Sep,2003,9/25/2003,North Coast,1
3663,3756,25,9,Sep,2003,9/25/2003,North Coast,1
3664,3757,25,9,Sep,2003,9/25/2003,North Coast,1
3665,3758,25,9,Sep,2003,9/25/2003,North Coast,1
3667,3760,25,9,Sep,2003,9/25/2003,North Coast,1
3671,3764,25,9,Sep,2003,9/25/2003,North Coast,1
3675,3768,25,9,Sep,2003,9/25/2003,North Coast,1
3676,3769,25,9,Sep,2003,9/25/2003,North Coast,1
3678,3771,25,9,Sep,2003,9/25/2003,North Coast,1
3680,3773,25,9,Sep,2003,9/25/2003,North Coast,1
3683,3776,25,9,Sep,2003,9/25/2003,North Coast,1
3687,3780,25,9,Sep,2003,9/25/2003,North Coast,1
3691,3784,25,9,Sep,2003,9/25/2003,North Coast,1
3692,3785,25,9,Sep,2003,9/25/2003,North Coast,1
3697,3790,25,9,Sep,2003,9/25/2003,North Coast,1
4110,4222,7,8,Aug,2004,8/7/2004,South Coast,1
4114,4226,7,8,Aug,2004,8/7/2004,South Coast,1
4121,4233,7,8,Aug,2004,8/7/2004,South Coast,1
4179,4291,28,9,Sep,2004,9/28/2004,South Coast,1
4184,4296,29,9,Sep,2003,9/29/2003,South Coast,1
4186,4298,29,9,Sep,2003,9/29/2003,South Coast,1
4210,4322,12,10,Oct,2004,10/12/2004,South Coast,1
4235,4347,24,10,Oct,2002,10/24/2002,South Coast,1
4404,4516,21,9,Sep,2001,9/21/2001,South Coast,1
4559,4677,21,8,Aug,2002,8/21/2002,South Coast,1
4562,4680,21,8,Aug,2002,8/21/2002,South Coast,1
4579,4697,26,8,Aug,2003,8/26/2003,South Coast,1
4604,4722,23,9,Sep,2003,9/23/2003,South Coast,1
4755,4873,30,7,Jul,2003,7/30/2003,South Coast,1
4767,4885,8,8,Aug,2005,8/8/2005,South Coast,1
4789,4907,20,8,Aug,2003,8/20/2003,South Coast,1
4796,4914,24,8,Aug,2004,8/24/2004,South Coast,1
4800,4918,24,8,Aug,2004,8/24/2004,South Coast,1
4805,4923,27,8,Aug,2001,8/27/2001,South Coast,1
4807,4925,27,8,Aug,2001,8/27/2001,South Coast,1
4819,4937,31,8,Aug,2007,8/31/2007,South Coast,1
4822,4940,31,8,Aug,2007,8/31/2007,South Coast,1
4824,4942,31,8,Aug,2007,8/31/2007,South Coast,1
4831,4949,14,9,Sep,2001,9/14/2001,South Coast,1
4843,4961,27,9,Sep,2007,9/27/2007,South Coast,1
4845,4963,27,9,Sep,2007,9/27/2007,South Coast,1
4850,4968,29,9,Sep,2001,9/29/2001,South Coast,1
4856,4974,30,9,Sep,2005,9/30/2005,South Coast,1
4857,4975,30,9,Sep,2005,9/30/2005,South Coast,1
4859,4977,30,9,Sep,2005,9/30/2005,South Coast,1
4894,5012,14,10,Oct,2002,10/14/2002,South Coast,1
5258,5376,11,9,Sep,2003,9/11/2003,Strait,1
5266,5384,14,10,Oct,2003,10/14/2003,Strait,1
5270,5388,16,11,Nov,2007,11/16/2007,Strait,1
5425,5543,24,8,Aug,2004,8/24/2004,North Coast,1
5457,5575,6,9,Sep,2004,9/6/2004,North Coast,1
5460,5578,6,9,Sep,2004,9/6/2004,North Coast,1
5466,5584,6,9,Sep,2004,9/6/2004,North Coast,1
5480,5598,6,9,Sep,2004,9/6/2004,North Coast,1
5481,5599,6,9,Sep,2004,9/6/2004,North Coast,1
5488,5606,11,9,Sep,2003,9/11/2003,North Coast,1
5489,5607,11,9,Sep,2003,9/11/2003,North Coast,1
5491,5609,11,9,Sep,2003,9/11/2003,North Coast,1
5493,5611,11,9,Sep,2003,9/11/2003,North Coast,1
5496,5614,11,9,Sep,2003,9/11/2003,North Coast,1
5538,5656,16,9,Sep,2007,9/16/2007,North Coast,1
5554,5672,20,9,Sep,2004,9/20/2004,North Coast,1
5566,5684,20,9,Sep,2004,9/20/2004,North Coast,1
5568,5686,20,9,Sep,2004,9/20/2004,North Coast,1
5573,5691,20,9,Sep,2004,9/20/2004,North Coast,1
5575,5693,20,9,Sep,2004,9/20/2004,North Coast,1
5577,5695,21,9,Sep,2004,9/21/2004,North Coast,1
5597,5715,23,9,Sep,2003,9/23/2003,North Coast,1
5604,5722,23,9,Sep,2003,9/23/2003,North Coast,1
5608,5726,23,9,Sep,2003,9/23/2003,North Coast,1
5612,5730,23,9,Sep,2003,9/23/2003,North Coast,1
5614,5732,23,9,Sep,2003,9/23/2003,North Coast,1
5617,5735,23,9,Sep,2003,9/23/2003,North Coast,1
5621,5739,23,9,Sep,2003,9/23/2003,North Coast,1
5623,5741,23,9,Sep,2003,9/23/2003,North Coast,1
5627,5745,23,9,Sep,2003,9/23/2003,North Coast,1
5629,5747,23,9,Sep,2003,9/23/2003,North Coast,1
5632,5750,23,9,Sep,2003,9/23/2003,North Coast,1
5636,5754,23,9,Sep,2003,9/23/2003,North Coast,1
5637,5755,23,9,Sep,2003,9/23/2003,North Coast,1
5657,5775,23,9,Sep,2003,9/23/2003,North Coast,1
5660,5778,23,9,Sep,2003,9/23/2003,North Coast,1
5672,5790,30,9,Sep,2005,9/30/2005,North Coast,1
5673,5791,30,9,Sep,2005,9/30/2005,North Coast,1
5694,5812,13,10,Oct,2004,10/13/2004,North Coast,1
5713,5831,24,10,Oct,2005,10/24/2005,North Coast,1
6114,6232,14,8,Aug,2004,8/14/2004,Oregon North,1
6116,6234,14,8,Aug,2004,8/14/2004,Oregon North,1
6118,6236,14,8,Aug,2004,8/14/2004,Oregon North,1
6121,6239,14,8,Aug,2004,8/14/2004,Oregon North,1
6122,6240,14,8,Aug,2004,8/14/2004,Oregon North,1
6124,6242,14,8,Aug,2004,8/14/2004,Oregon North,1
6125,6243,14,8,Aug,2004,8/14/2004,Oregon North,1
6145,6263,27,8,Aug,2005,8/27/2005,Oregon North,1
6169,6287,17,9,Sep,2002,9/17/2002,Oregon North,1
6180,6298,24,9,Sep,2005,9/24/2005,Oregon North,1
6181,6299,24,9,Sep,2005,9/24/2005,Oregon North,1
6212,6330,8,10,Oct,2005,10/8/2005,Oregon North,1
6287,6405,5,11,Nov,2005,11/5/2005,Oregon North,1
6393,6511,6,9,Sep,2004,9/6/2004,Oregon North,1
6743,6861,27,9,Sep,2004,9/27/2004,Oregon North,1
7173,7291,7,8,Aug,2004,8/7/2004,Oregon North,1
7190,7308,7,8,Aug,2004,8/7/2004,Oregon North,1
7244,7362,19,8,Aug,2007,8/19/2007,Oregon North,1
7249,7367,3,9,Sep,2002,9/3/2002,Oregon North,1
7251,7369,3,9,Sep,2002,9/3/2002,Oregon North,1
7305,7423,9,10,Oct,2005,10/9/2005,Oregon North,1
7438,7556,10,9,Sep,2007,9/10/2007,Humboldt,1
7449,7567,10,9,Sep,2007,9/10/2007,Humboldt,1
7488,7606,17,9,Sep,2007,9/17/2007,South Coast,1
7493,7611,17,10,Oct,2007,10/17/2007,South Coast,1
7528,7646,22,9,Sep,2007,9/22/2007,Oregon North,1
7530,7648,22,9,Sep,2007,9/22/2007,Oregon North,1
7533,7651,12,10,Oct,2007,10/12/2007,Oregon North,1
7642,7760,14,9,Sep,2007,9/14/2007,Humboldt,1
7720,7838,20,9,Sep,2007,9/20/2007,Humboldt,1
7721,7839,20,9,Sep,2007,9/20/2007,Humboldt,1
7822,7940,14,10,Oct,2007,10/14/2007,Humboldt,1
8059,8177,3,9,Sep,2007,9/3/2007,Humboldt,1
8060,8178,3,9,Sep,2007,9/3/2007,Humboldt,1
8141,8259,6,10,Oct,2007,10/6/2007,Humboldt,1
8782,8902,14,9,Sep,2007,9/14/2007,South Coast,1
8785,8905,14,9,Sep,2007,9/14/2007,South Coast,1
8786,8906,14,9,Sep,2007,9/14/2007,South Coast,1
8833,8953,26,7,Jul,2007,7/26/2007,Humboldt,1
8845,8965,10,9,Sep,2007,9/10/2007,South Coast,1
8971,9091,6,9,Sep,2007,9/6/2007,Oregon North,1
8997,9117,5,10,Oct,2007,10/5/2007,Oregon North,1
8999,9119,5,10,Oct,2007,10/5/2007,Oregon North,1
9051,9171,1,11,Nov,2007,11/1/2007,Oregon North,1
9156,9276,22,9,Sep,2007,9/22/2007,North Coast,1
9320,9440,26,9,Sep,2007,9/26/2007,North Coast,1
9345,9465,13,9,Sep,2007,9/13/2007,Oregon North,1
9776,9898,13,9,Sep,2004,9/13/2004,North Coast,1
9803,9925,12,10,Oct,2007,10/12/2007,South Coast,1
9807,9929,12,10,Oct,2007,10/12/2007,South Coast,1
9998,10120,15,8,Aug,2007,8/15/2007,Humboldt,1
10019,10141,18,9,Sep,2003,9/18/2003,North Coast,1
10022,10144,18,9,Sep,2003,9/18/2003,North Coast,1
10025,10147,18,9,Sep,2003,9/18/2003,North Coast,1
10027,10149,18,9,Sep,2003,9/18/2003,North Coast,1
10028,10150,18,9,Sep,2003,9/18/2003,North Coast,1
10031,10153,18,9,Sep,2003,9/18/2003,North Coast,1
10038,10160,18,9,Sep,2003,9/18/2003,North Coast,1
10040,10162,18,9,Sep,2003,9/18/2003,North Coast,1
10041,10163,18,9,Sep,2003,9/18/2003,North Coast,1
10045,10167,18,9,Sep,2003,9/18/2003,North Coast,1
10050,10172,18,9,Sep,2003,9/18/2003,North Coast,1
10065,10187,22,10,Oct,2004,10/22/2004,North Coast,1
10066,10188,22,10,Oct,2004,10/22/2004,North Coast,1
10668,10791,20,10,Oct,2004,10/20/2004,North Coast,1
10803,10945,7,9,Sep,2003,9/7/2003,Strait,1
10902,11044,20,9,Sep,2002,9/20/2002,North Coast,1
10903,11045,20,9,Sep,2002,9/20/2002,North Coast,1
10908,11050,6,10,Oct,2002,10/6/2002,North Coast,1
10909,11051,6,10,Oct,2002,10/6/2002,North Coast,1
10912,11054,6,10,Oct,2002,10/6/2002,North Coast,1
11020,11162,12,9,Sep,2002,9/12/2002,Oregon North,1
11032,11174,27,9,Sep,2002,9/27/2002,Oregon North,1
11208,11350,27,8,Aug,2004,8/27/2004,Oregon North,1
11211,11353,27,8,Aug,2004,8/27/2004,Oregon North,1
11217,11359,27,8,Aug,2004,8/27/2004,Oregon North,1
11222,11364,13,9,Sep,2003,9/13/2003,Oregon North,1
11235,11377,13,9,Sep,2006,9/13/2006,Oregon North,1
11236,11378,13,9,Sep,2006,9/13/2006,Oregon North,1
11261,11403,23,9,Sep,2005,9/23/2005,Oregon North,1
11386,11528,19,9,Sep,2003,9/19/2003,North Coast,1
11404,11546,9,10,Oct,2002,10/9/2002,North Coast,1
11482,11624,13,8,Aug,2004,8/13/2004,Oregon North,1
11483,11625,13,8,Aug,2004,8/13/2004,Oregon North,1
11531,11673,30,8,Aug,2001,8/30/2001,North Coast,1
11543,11685,30,8,Aug,2001,8/30/2001,North Coast,1
11578,11720,25,9,Sep,2007,9/25/2007,North Coast,1
11586,11728,25,11,Nov,2007,11/25/2007,North Coast,1
11588,11730,25,11,Nov,2007,11/25/2007,North Coast,1
11622,11764,27,8,Aug,2002,8/27/2002,Oregon South,1
11630,11772,27,8,Aug,2002,8/27/2002,Oregon South,1
11642,11784,22,10,Oct,2002,10/22/2002,Oregon South,1
11763,11905,21,8,Aug,2003,8/21/2003,Oregon North,1
11770,11912,5,9,Sep,2007,9/5/2007,Oregon North,1
11794,11936,30,9,Sep,2002,9/30/2002,Oregon North,1
11824,11966,10,10,Oct,2002,10/10/2002,Oregon North,1
11944,12086,23,8,Aug,2002,8/23/2002,Oregon North,1
11958,12100,28,8,Aug,2004,8/28/2004,Oregon North,1
11962,12104,28,8,Aug,2004,8/28/2004,Oregon North,1
12442,12584,10,8,Aug,2004,8/10/2004,South Coast,1
12443,12585,10,8,Aug,2004,8/10/2004,South Coast,1
12448,12590,10,8,Aug,2004,8/10/2004,South Coast,1
12449,12591,10,8,Aug,2004,8/10/2004,South Coast,1
12454,12596,10,8,Aug,2004,8/10/2004,South Coast,1
12472,12614,27,8,Aug,2002,8/27/2002,South Coast,1
12480,12622,27,8,Aug,2002,8/27/2002,South Coast,1
12511,12653,12,9,Sep,2002,9/12/2002,South Coast,1
12523,12665,22,9,Sep,2004,9/22/2004,South Coast,1
12543,12685,26,9,Sep,2002,9/26/2002,South Coast,1
12546,12688,27,9,Sep,2003,9/27/2003,South Coast,1
12555,12697,27,9,Sep,2003,9/27/2003,South Coast,1
12574,12716,9,10,Oct,2002,10/9/2002,South Coast,1
12809,12951,5,10,Oct,2007,10/5/2007,South Coast,1
12930,13072,16,9,Sep,2007,9/16/2007,South Coast,1
12992,13134,16,9,Sep,2007,9/16/2007,South Coast,1
13134,13276,3,8,Aug,2004,8/3/2004,Oregon North,1
13136,13278,3,8,Aug,2004,8/3/2004,Oregon North,1
13158,13300,3,8,Aug,2004,8/3/2004,Oregon North,1
13172,13314,3,8,Aug,2004,8/3/2004,Oregon North,1
13205,13347,14,9,Sep,2003,9/14/2003,North Coast,1
13206,13348,14,9,Sep,2003,9/14/2003,North Coast,1
13208,13350,14,9,Sep,2003,9/14/2003,North Coast,1
13209,13351,14,9,Sep,2003,9/14/2003,North Coast,1
13214,13356,14,9,Sep,2003,9/14/2003,North Coast,1
13216,13358,14,9,Sep,2003,9/14/2003,North Coast,1
13218,13360,14,9,Sep,2003,9/14/2003,North Coast,1
13222,13364,14,9,Sep,2003,9/14/2003,North Coast,1
13223,13365,14,9,Sep,2003,9/14/2003,North Coast,1
13224,13366,14,9,Sep,2003,9/14/2003,North Coast,1
13225,13367,14,9,Sep,2003,9/14/2003,North Coast,1
13227,13369,14,9,Sep,2003,9/14/2003,North Coast,1
13228,13370,14,9,Sep,2003,9/14/2003,North Coast,1
13229,13371,14,9,Sep,2003,9/14/2003,North Coast,1
13230,13372,14,9,Sep,2003,9/14/2003,North Coast,1
13231,13373,14,9,Sep,2003,9/14/2003,North Coast,1
13283,13426,17,10,Oct,2004,10/17/2004,North Coast,1
13309,13452,16,10,Oct,2004,10/16/2004,South Coast,1
13329,13472,9,11,Nov,2002,11/9/2002,South Coast,1
13515,13670,13,10,Oct,2007,10/13/2007,South Coast,1
13588,13743,20,10,Oct,2001,10/20/2001,South Coast,1
13590,13745,20,10,Oct,2001,10/20/2001,South Coast,1
13593,13748,20,10,Oct,2001,10/20/2001,South Coast,1
13606,13761,13,10,Oct,2007,10/13/2007,South Coast,1
13607,13762,13,10,Oct,2007,10/13/2007,South Coast,1
13679,14095,6,9,Sep,2001,9/6/2001,South Coast,1
13680,14096,6,9,Sep,2001,9/6/2001,South Coast,1
13681,14097,6,9,Sep,2001,9/6/2001,South Coast,1
13776,14192,22,8,Aug,2004,8/22/2004,South Coast,1
13788,14204,29,8,Aug,2003,8/29/2003,South Coast,1
13792,14208,7,9,Sep,2002,9/7/2002,South Coast,1
13794,14210,7,9,Sep,2002,9/7/2002,South Coast,1
13796,14212,7,9,Sep,2002,9/7/2002,South Coast,1
13797,14213,7,9,Sep,2002,9/7/2002,South Coast,1
13800,14216,7,9,Sep,2002,9/7/2002,South Coast,1
13802,14218,7,9,Sep,2002,9/7/2002,South Coast,1
13805,14221,13,9,Sep,2003,9/13/2003,South Coast,1
13821,14237,23,9,Sep,2002,9/23/2002,South Coast,1
13847,14263,15,8,Aug,2003,8/15/2003,South Coast,1
13901,14317,19,10,Oct,2003,10/19/2003,North Coast,1
13917,14333,29,10,Oct,2007,10/29/2007,North Coast,1
14007,14423,13,9,Sep,2002,9/13/2002,South Coast,1
14011,14427,13,9,Sep,2002,9/13/2002,South Coast,1
14186,14606,2,9,Sep,2002,9/2/2002,Oregon North,1
14188,14608,2,9,Sep,2002,9/2/2002,Oregon North,1
14191,14611,2,9,Sep,2002,9/2/2002,Oregon North,1
14192,14612,2,9,Sep,2002,9/2/2002,Oregon North,1
14201,14621,13,10,Oct,2002,10/13/2002,Oregon North,1
14245,14665,11,9,Sep,2005,9/11/2005,Oregon North,1
14267,14687,11,9,Sep,2005,9/11/2005,Oregon North,1
14366,14786,27,9,Sep,2005,9/27/2005,South Coast,1
14507,14928,11,8,Aug,2004,8/11/2004,South Coast,1
14511,14932,11,8,Aug,2004,8/11/2004,South Coast,1
14514,14935,11,8,Aug,2004,8/11/2004,South Coast,1
14522,14943,17,9,Sep,2003,9/17/2003,South Coast,1
14531,14952,3,10,Oct,2003,10/3/2003,South Coast,1
14532,14953,3,10,Oct,2003,10/3/2003,South Coast,1
14544,14965,10,10,Oct,2003,10/10/2003,South Coast,1
14767,15188,11,10,Oct,2002,10/11/2002,North Coast,1
14848,15269,13,8,Aug,2004,8/13/2004,Oregon North,1
14860,15281,11,9,Sep,2006,9/11/2006,Oregon North,1
14863,15284,11,9,Sep,2006,9/11/2006,Oregon North,1
14907,15328,10,9,Sep,2003,9/10/2003,Oregon North,1
14910,15331,10,9,Sep,2003,9/10/2003,Oregon North,1
14930,15351,30,9,Sep,2003,9/30/2003,Oregon North,1
14936,15357,30,9,Sep,2003,9/30/2003,Oregon North,1
15020,15441,15,10,Oct,2002,10/15/2002,Oregon North,1
15021,15442,15,10,Oct,2002,10/15/2002,Oregon North,1
15329,15751,17,7,Jul,2005,7/17/2005,Oregon North,1
15398,15820,1,8,Aug,2004,8/1/2004,Oregon North,1
15411,15833,1,8,Aug,2004,8/1/2004,Oregon North,1
15439,15861,1,8,Aug,2004,8/1/2004,Oregon North,1
15449,15871,1,8,Aug,2004,8/1/2004,Oregon North,1
15451,15873,1,8,Aug,2004,8/1/2004,Oregon North,1
15535,15957,16,8,Aug,2004,8/16/2004,Oregon North,1
15552,15974,16,8,Aug,2004,8/16/2004,Oregon North,1
15558,15980,16,8,Aug,2004,8/16/2004,Oregon North,1
15578,16000,16,8,Aug,2004,8/16/2004,Oregon North,1
15593,16015,16,8,Aug,2004,8/16/2004,Oregon North,1
15602,16024,16,8,Aug,2004,8/16/2004,Oregon North,1
15603,16025,16,8,Aug,2004,8/16/2004,Oregon North,1
15613,16035,16,8,Aug,2004,8/16/2004,Oregon North,1
15614,16036,16,8,Aug,2004,8/16/2004,Oregon North,1
15621,16043,16,8,Aug,2004,8/16/2004,Oregon North,1
15670,16092,9,10,Oct,2002,10/9/2002,Oregon North,1
16124,16546,31,8,Aug,2003,8/31/2003,Oregon North,1
16215,16637,20,9,Sep,2006,9/20/2006,Oregon North,1
16241,16663,25,9,Sep,2004,9/25/2004,Oregon North,1
16321,16743,26,10,Oct,2002,10/26/2002,Oregon North,1
16486,16908,8,10,Oct,2005,10/8/2005,Oregon North,1
16677,17099,29,8,Aug,2004,8/29/2004,Oregon North,1
16685,17107,29,8,Aug,2004,8/29/2004,Oregon North,1
16687,17109,29,8,Aug,2004,8/29/2004,Oregon North,1
16705,17127,29,8,Aug,2004,8/29/2004,Oregon North,1
16706,17128,29,8,Aug,2004,8/29/2004,Oregon North,1
16711,17133,29,8,Aug,2004,8/29/2004,Oregon North,1
16724,17146,11,9,Sep,2004,9/11/2004,Oregon North,1
16821,17243,8,9,Sep,2004,9/8/2004,South Coast,1
16828,17250,15,9,Sep,2003,9/15/2003,South Coast,1
17062,17484,8,8,Aug,2005,8/8/2005,Oregon North,1
17581,18007,7,8,Aug,2004,8/7/2004,South Coast,1
17631,18057,10,9,Sep,2005,9/10/2005,South Coast,1
17643,18069,11,9,Sep,2003,9/11/2003,South Coast,1
17649,18075,11,9,Sep,2003,9/11/2003,South Coast,1
17651,18077,17,9,Sep,2004,9/17/2004,South Coast,1
17694,18120,6,10,Oct,2003,10/6/2003,South Coast,1
17708,18134,11,10,Oct,2005,10/11/2005,South Coast,1
17710,18136,11,10,Oct,2005,10/11/2005,South Coast,1
17711,18137,11,10,Oct,2005,10/11/2005,South Coast,1
18034,18462,26,8,Aug,2003,8/26/2003,South Coast,1
18043,18471,4,10,Oct,2003,10/4/2003,South Coast,1
18046,18474,4,10,Oct,2003,10/4/2003,South Coast,1
18049,18477,4,10,Oct,2003,10/4/2003,South Coast,1
18050,18478,16,10,Oct,2004,10/16/2004,South Coast,1
18053,18481,16,10,Oct,2004,10/16/2004,South Coast,1
18057,18485,16,10,Oct,2004,10/16/2004,South Coast,1
18152,18580,13,9,Sep,2003,9/13/2003,Oregon North,1
18279,18707,17,8,Aug,2004,8/17/2004,Oregon North,1
18288,18716,17,8,Aug,2004,8/17/2004,Oregon North,1
18337,18765,15,10,Oct,2005,10/15/2005,Oregon North,1
18500,18928,17,8,Aug,2007,8/17/2007,Humboldt,1
18550,18978,7,10,Oct,2006,10/7/2006,Humboldt,1
